obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
91, 97.3, 49660, 9132, 4039, 498, 2024, 3322, 2748, 1239, 75, 47, 1, 72662,  1*
92, 98.2, 56999, 41871, 13606, 46095, 12589, 10034, 5778, 5241, 67, 48, 0, 192213,  1*
93, 99.3, 9279, 20375, 21139, 11077, 8663, 8275, 4702, 2147, 74, 50, 1, 85657,  1*
94, 100.3, 6369, 2559, 15010, 9677, 6027, 9174, 3358, 4833, 66, 53, 1, 57007,  1*
95, 101.2, 29052, 45480, 14412, 11412, 10621, 4387, 4403, 2583, 51, 56, 1, 122350,  1*
96, 102.3, 44602, 15127, 12999, 20365, 6730, 6836, 4301, 2646, 56, 60, 0, 113606,  1*
97, 103.3, 13478, 16223, 6219, 9003, 7829, 4374, 6268, 5046, 54, 56, 0, 68440,  1*
98, 104.2, 5028, 3581, 5538, 8367, 6688, 7556, 4960, 5855, 56, 50, 0, 47573,  1*
99, 105.3, 1956, 18465, 13292, 11641, 7065, 13273, 4186, 3697, 75, 54, 1, 73575,  1*
100, 106.2, 295197, 54728, 14269, 29035, 21390, 18499, 8248, 4495, 80, 44, 0, 445861,  1*
101, 107.2, 15496, 7088, 11184, 16277, 4933, 7730, 4963, 7152, 84, 54, 0, 74823,  1*
102, 108.2, 173147, 77428, 23851, 34878, 18665, 11436, 3341, 6141, 66, 51, 0, 348887,  1*
103, 109.1, 18152, 35520, 9542, 11226, 6281, 8772, 4800, 5063, 60, 47, 0, 99356,  1*
104, 110.3, 32858, 7135, 23215, 16238, 17499, 8012, 5411, 2869, 57, 56, 1, 113237,  1*
105, 111.2, 39090, 41955, 4582, 5975, 13532, 12620, 6325, 3303, 57, 35, 0, 127382,  1*
106, 113.2, 46366, 19156, 5260, 12548, 10091, 7090, 6042, 3146, 67, 35, 0, 109699,  1*
107, 114.2, 9174, 10986, 29554, 10504, 10851, 9116, 3640, 2930, 63, 38, 1, 86755,  1*
108, 115.2, 5389, 14224, 10458, 3577, 13754, 8735, 1436, 3516, 64, 47, 1, 61089,  1*
109, 116.2, 7004, 16507, 25625, 15625, 12324, 4862, 5615, 3476, 56, 54, 1, 91038,  1*
110, 117.1, 7283, 4759, 7436, 9887, 8688, 9314, 12293, 4145, 74, 56, 0, 63805,  1*
111, 119.2, 12798, 6157, 12815, 8725, 12770, 8017, 6017, 1560, 80, 51, 1, 68859,  1*
112, 120.1, 2687, 4645, 27016, 6158, 7373, 25025, 3367, 4075, 100, 56, 1, 80346,  1*
113, 121.2, 21590, 3420, 2584, 4952, 7975, 6285, 6425, 4243, 100, 51, 0, 57474,  1*
114, 122.1, 33772, 13069, 15325, 12860, 2260, 7297, 7469, 6247, 96, 54, 1, 98299,  1*
115, 123.2, 9812, 19035, 1982, 24002, 11229, 8813, 2918, 4251, 94, 53, 0, 82042,  1*
116, 124.2, 4597, 14735, 4393, 14943, 14665, 8395, 4595, 2217, 84, 48, 0, 68540,  1*
117, 125.1, 4380, 23250, 11693, 21417, 5596, 5625, 8677, 6335, 63, 56, 0, 86973,  1*
118, 126.2, 6573, 17947, 25570, 7093, 8639, 11420, 11645, 1515, 66, 53, 1, 90402,  1*
119, 127.1, 13132, 7237, 16647, 2619, 28580, 4160, 5800, 4635, 64, 50, 1, 82810,  1*
120, 128.2, 11415, 16896, 3579, 17261, 14159, 5787, 5099, 4502, 57, 51, 0, 78698,  1*
121, 129.2, 291145, 130342, 13889, 8063, 5491, 9830, 1737, 2494, 53, 35, 1, 462991,  1*
122, 130.1, 44761, 27370, 26062, 11800, 9818, 12962, 4444, 2079, 51, 34, 1, 139296,  1*
123, 131.2, 15824, 31981, 1020, 30890, 8483, 8734, 4904, 3981, 48, 37, 0, 105817,  1*
124, 132.1, 25154, 5919, 15209, 22126, 7868, 6383, 6868, 3584, 48, 47, 0, 93111,  1*
125, 133.1, 55057, 6311, 29359, 27578, 5669, 3330, 4905, 3036, 47, 77, 1, 135245,  1*
126, 134.2, 5155, 6131, 1252, 19408, 31294, 12584, 6153, 1690, 56, 70, 0, 83667,  1*
127, 135.1, 16335, 11386, 15786, 1809, 10166, 8586, 5384, 4675, 64, 69, 1, 74127,  1*
128, 137.1, 33279, 30923, 6501, 16052, 10776, 6038, 4383, 4639, 61, 57, 0, 112591,  1*
129, 138.1, 3653, 10425, 17506, 8415, 1272, 11151, 6990, 1519, 60, 50, 1, 60931,  1*
130, 139.1, 51176, 39460, 28096, 41568, 15808, 14328, 4283, 3751, 50, 54, 0, 198470,  1*
131, 140.1, 2737, 22964, 5752, 27092, 12045, 4408, 6202, 4779, 48, 60, 0, 85979,  1*
132, 141.2, 1804, 21572, 14423, 7488, 5781, 2407, 6791, 3897, 44, 61, 1, 64163,  1*
133, 142.1, 457862, 21458, 25860, 11415, 13590, 13463, 4389, 6498, 41, 57, 1, 554535,  1*
134, 143.1, 29388, 26297, 7232, 11414, 4045, 6559, 11071, 4436, 43, 51, 0, 100442,  1*
135, 144.1, 4691, 19812, 15287, 5018, 5159, 10258, 5265, 3782, 56, 48, 1, 69272,  1*
136, 145.1, 29103, 28045, 18218, 15965, 13859, 3107, 3455, 3126, 54, 50, 1, 114878,  1*
137, 146.1, 3349, 7220, 15243, 7016, 7890, 4683, 2599, 2612, 51, 51, 1, 50612,  1*
138, 147.2, 16542, 23054, 27860, 8867, 11130, 9806, 1536, 3669, 53, 56, 1, 102464,  1*
139, 148.1, 11102, 28941, 21761, 34480, 1991, 7177, 3451, 5278, 40, 64, 0, 114181,  1*
140, 149.0, 101080, 56122, 23176, 5151, 11455, 9001, 4172, 1209, 48, 56, 1, 211366,  1*
141, 150.1, 17210, 4645, 5259, 23645, 2608, 2682, 3104, 4145, 40, 66, 0, 63298,  1*
142, 151.1, 14638, 34818, 8697, 20725, 12669, 12477, 3218, 2493, 41, 61, 0, 109735,  1*
143, 152.1, 3124, 17697, 6311, 8208, 9149, 3534, 6172, 4790, 43, 53, 0, 58985,  1*
144, 153.1, 13323, 40207, 25704, 26688, 10750, 10859, 5258, 2795, 44, 60, 0, 135584,  1*
145, 154.0, 45821, 14492, 14856, 8147, 13362, 6171, 8883, 9336, 53, 44, 1, 121068,  1*
146, 155.1, 14286, 22819, 98371, 14795, 6169, 7634, 4262, 6324, 38, 61, 1, 174660,  1*
147, 156.0, 1204183, 31748, 132746, 20467, 10580, 13218, 2223, 3325, 34, 78, 1, 1418490,  1*
148, 157.1, 4002, 10843, 8653, 6369, 1714, 3775, 3528, 3103, 37, 80, 1, 41987,  1*
149, 158.0, 6088, 11160, 2401, 23052, 4144, 5751, 10786, 2465, 37, 84, 0, 65847,  1*
150, 159.0, 29281, 19547, 8318, 16811, 6030, 10917, 5402, 4224, 54, 70, 0, 100530,  1*
