obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
79, 86.7, 21071, 10296, 6709, 3020, 8372, 7246, 6905, 9127, 63, 48, 1, 72746,  1*
80, 87.7, 4840, 8640, 1685, 20067, 10110, 8788, 11504, 7084, 64, 51, 0, 72718,  1*
81, 88.6, 319019, 63791, 83202, 17823, 9305, 7839, 11505, 6802, 48, 61, 1, 519286,  1*
82, 89.8, 8867, 55900, 5037, 9857, 16008, 7467, 14808, 10919, 35, 48, 0, 128863,  1*
83, 90.6, 27728, 18918, 5135, 30814, 6367, 14542, 12714, 6168, 30, 56, 0, 122386,  1*
84, 91.6, 30422, 41916, 10715, 7707, 4578, 18878, 7294, 10263, 34, 47, 1, 131773,  1*
85, 92.7, 23308, 20706, 19002, 7606, 14591, 11052, 11608, 4854, 47, 38, 1, 112727,  1*
86, 93.6, 62296, 87821, 1933, 33560, 22346, 9530, 6832, 8550, 43, 41, 0, 232868,  1*
87, 94.7, 17072, 4510, 28049, 21635, 3710, 9745, 13545, 6873, 40, 53, 1, 105139,  1*
88, 95.6, 40754, 35086, 8023, 10790, 24160, 16195, 5458, 3514, 38, 51, 0, 143980,  1*
89, 96.5, 12700, 20994, 13831, 19091, 10865, 16779, 8780, 17283, 43, 54, 0, 120323,  1*
90, 97.7, 20835, 19930, 11013, 11041, 10784, 18390, 10754, 7675, 57, 60, 0, 110422,  1*
91, 98.6, 17568, 34261, 11101, 8214, 7475, 14990, 9724, 10674, 63, 40, 1, 114007,  1*
92, 99.7, 4296, 8478, 15824, 22144, 15324, 10612, 7620, 9390, 61, 53, 0, 93688,  1*
93, 100.6, 9770, 8666, 3824, 10444, 4291, 9367, 17944, 6493, 63, 51, 0, 70799,  1*
94, 101.8, 13195, 10475, 2031, 9461, 3015, 12884, 10727, 9188, 66, 51, 0, 70976,  1*
95, 102.6, 61208, 21847, 3403, 7436, 4514, 9813, 10082, 6043, 67, 50, 0, 124346,  1*
96, 103.6, 1733, 10493, 6224, 4862, 9188, 15928, 8840, 10873, 78, 38, 1, 68141,  1*
97, 104.6, 198589, 12026, 12406, 6281, 17301, 10709, 10720, 11198, 77, 35, 1, 279230,  1*
98, 105.7, 13582, 37477, 18107, 6673, 15652, 19657, 15698, 13660, 70, 34, 1, 140506,  1*
99, 106.6, 34028, 35268, 62945, 8576, 29107, 14455, 10662, 7569, 63, 43, 1, 202610,  1*
100, 108.6, 5658, 11472, 45660, 13049, 11634, 12313, 10050, 4624, 51, 60, 1, 114460,  1*
101, 109.6, 106171, 23132, 7632, 2475, 1980, 4489, 5543, 2097, 29, 53, 1, 153519,  1*
102, 110.6, 10382, 23869, 12440, 29851, 24351, 17021, 18666, 12412, 37, 50, 0, 148992,  1*
103, 111.6, 58470, 62573, 26451, 10252, 8537, 14343, 15554, 15602, 35, 37, 1, 211782,  1*
104, 112.6, 24509, 17978, 10502, 6065, 9408, 10566, 5469, 8438, 44, 41, 1, 92935,  1*
105, 113.6, 28075, 8702, 5389, 3285, 13058, 14199, 17398, 11729, 61, 40, 1, 101835,  1*
106, 114.5, 9553, 24684, 27450, 10522, 9018, 8097, 10701, 12959, 54, 43, 1, 112984,  1*
107, 115.6, 21404, 15201, 1257, 16431, 8292, 33452, 12293, 11319, 70, 40, 0, 119649,  1*
108, 116.6, 17601, 15229, 4615, 29552, 9092, 23085, 7429, 16265, 77, 44, 0, 122868,  1*
109, 117.5, 21856, 18314, 9441, 3913, 5637, 15381, 18226, 7835, 70, 48, 1, 100603,  1*
110, 118.6, 10580, 12468, 59672, 7377, 9429, 15863, 21607, 21622, 77, 54, 1, 158618,  1*
111, 119.5, 2429, 10254, 35008, 6451, 18964, 23562, 26747, 7392, 69, 64, 1, 130807,  1*
112, 120.5, 9435, 2197, 8646, 15655, 12419, 13540, 12706, 14770, 70, 64, 0, 89368,  1*
113, 121.6, 19411, 21091, 12168, 7327, 17155, 19542, 28720, 8737, 70, 64, 1, 134151,  1*
114, 122.5, 6255, 12631, 6769, 7069, 12200, 13496, 14867, 7108, 80, 48, 0, 80395,  1*
115, 123.6, 4000, 11563, 2148, 11886, 5284, 16384, 15400, 6448, 83, 41, 0, 73113,  1*
116, 124.5, 17707, 19576, 11463, 8525, 21099, 19335, 17067, 7042, 81, 30, 1, 121814,  1*
117, 126.6, 8114, 9569, 24067, 21958, 7443, 13867, 14946, 11706, 74, 47, 1, 111670,  1*
118, 127.5, 30332, 22553, 11356, 11763, 15555, 22493, 21633, 11025, 51, 53, 0, 146710,  1*
119, 128.6, 1898, 9299, 2522, 31688, 13902, 20133, 7331, 7331, 51, 63, 0, 94104,  1*
120, 129.5, 24515, 12987, 39865, 32341, 5298, 13732, 9363, 16074, 47, 66, 1, 154175,  1*
121, 130.5, 2471, 8671, 22213, 10142, 9594, 10606, 5322, 6043, 57, 69, 1, 75062,  1*
122, 132.5, 826, 13329, 15005, 14292, 8644, 10752, 16758, 11835, 53, 78, 1, 91441,  1*
