obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
122, 130.5, 4888, 8435, 2189, 34778, 18052, 13466, 8927, 8784, 66, 60, 0, 99519,  2*
123, 131.6, 8156, 14049, 2120, 11672, 18288, 12853, 5685, 6323, 69, 54, 0, 79146,  2*
124, 132.5, 98019, 45775, 29621, 31346, 9000, 19679, 9806, 8003, 57, 57, 0, 251249,  2*
125, 134.5, 63044, 21673, 6015, 24317, 19523, 12707, 11814, 8680, 53, 60, 0, 167773,  2*
126, 135.5, 8768, 89643, 5037, 8282, 22326, 8910, 13087, 11900, 41, 43, 0, 167953,  2*
127, 136.5, 117678, 21949, 2784, 16661, 2028, 11419, 12051, 4904, 47, 40, 0, 189474,  2*
128, 137.5, 144414, 35482, 7103, 11543, 29817, 18470, 11334, 4156, 48, 30, 0, 262319,  2*
129, 138.7, 37112, 14279, 17233, 29479, 4485, 11176, 11746, 14504, 40, 43, 0, 140014,  2*
130, 139.5, 746940, 10042, 106380, 5886, 26374, 11650, 18482, 4031, 40, 70, 1, 929785,  2*
131, 140.5, 744188, 86400, 12530, 23464, 19480, 12692, 6305, 3150, 30, 66, 0, 908209,  2*
132, 141.5, 10117, 20016, 5454, 10839, 6926, 6297, 12323, 2043, 24, 74, 0, 74015,  2*
133, 142.5, 9617, 19733, 3783, 22140, 5303, 5951, 7038, 2547, 21, 66, 0, 76112,  2*
134, 143.4, 46846, 10634, 15318, 17416, 8126, 10848, 18440, 6607, 30, 57, 0, 134235,  2*
135, 144.6, 178456, 8246, 9218, 9714, 4528, 9114, 4746, 2190, 43, 69, 0, 226212,  2*
136, 145.4, 4822, 14976, 12781, 3555, 5059, 3121, 5090, 3331, 38, 74, 1, 52735,  2*
137, 146.4, 5793, 21778, 10624, 8406, 7948, 4415, 4494, 6219, 38, 69, 1, 69677,  2*
138, 147.5, 4425, 3952, 11344, 5669, 3047, 12045, 2102, 2447, 47, 67, 1, 45031,  2*
139, 148.4, 10237, 28801, 1309, 11945, 10270, 6798, 5391, 4334, 40, 56, 0, 79085,  2*
140, 149.5, 4754, 10068, 9595, 11210, 1805, 5018, 5076, 2122, 43, 61, 0, 49648,  2*
141, 150.5, 28935, 40032, 6227, 12660, 4911, 6495, 9218, 1855, 43, 57, 0, 110333,  2*
142, 151.4, 14598, 30675, 12302, 10066, 7768, 9391, 2696, 3401, 34, 51, 1, 90897,  2*
143, 152.5, 65284, 7446, 1033, 3464, 3269, 1658, 2923, 267, 30, 54, 0, 85344,  2*
144, 153.4, 20563, 27160, 53616, 15283, 10597, 17711, 4417, 3526, 34, 54, 1, 152873,  2*
145, 154.5, 16614, 16911, 18616, 9657, 9396, 12305, 10090, 2498, 43, 61, 1, 96087,  2*
146, 155.5, 23171, 26363, 5620, 2939, 16510, 6025, 3588, 5430, 41, 53, 1, 89646,  2*
147, 156.4, 10194, 10499, 14594, 9030, 3427, 17721, 8040, 1852, 53, 60, 1, 75357,  2*
148, 158.5, 18084, 21657, 41244, 7256, 5057, 8970, 14272, 2059, 50, 60, 1, 118599,  2*
149, 159.4, 4486, 12912, 1574, 5558, 7047, 10509, 2383, 3364, 67, 57, 0, 47833,  2*
150, 160.5, 6169, 14369, 8630, 7437, 4724, 8350, 3233, 2648, 63, 56, 1, 55560,  2*
151, 161.4, 2452, 12822, 15004, 3962, 6810, 7864, 2686, 2457, 69, 50, 1, 54057,  2*
152, 162.5, 13565, 4120, 9704, 3141, 3883, 5102, 4660, 2626, 63, 56, 1, 46801,  2*
153, 163.4, 4059, 13266, 22055, 4882, 3390, 3633, 1906, 2758, 47, 75, 1, 55949,  2*
154, 164.3, 279055, 115970, 15964, 14714, 13682, 7844, 5416, 1607, 29, 64, 1, 454252,  2*
155, 165.5, 519559, 185138, 19390, 7045, 15352, 12485, 13665, 11995, 16, 48, 1, 784629,  2*
156, 166.4, 243093, 34747, 4139, 18098, 27183, 12491, 7864, 7289, 14, 35, 0, 354904,  2*
157, 167.5, 22163, 17687, 4992, 11128, 8472, 6911, 11658, 5694, 21, 24, 0, 88705,  2*
158, 168.4, 22948, 10252, 4182, 10385, 23958, 3686, 4167, 5024, 30, 29, 0, 84602,  2*
159, 169.4, 11912, 11280, 114557, 12459, 6628, 5016, 7771, 2699, 24, 63, 1, 172322,  2*
160, 170.4, 506836, 37223, 82356, 16950, 9316, 8452, 3252, 9018, 13, 78, 1, 673403,  2*
161, 171.4, 23557, 17884, 50174, 7918, 4749, 10119, 4321, 6572, 8, 90, 1, 125294,  2*
162, 172.3, 28504, 11464, 2786, 4289, 3574, 6457, 3667, 3634, 16, 87, 0, 64375,  2*
163, 173.5, 123130, 35674, 11706, 11291, 11546, 8539, 8603, 5050, 29, 63, 1, 215539,  2*
164, 174.4, 35763, 19372, 26128, 6275, 11118, 4496, 6811, 4320, 34, 56, 1, 114283,  2*
