obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
83, 88.2, 5467, 5113, 4589, 2242, 8253, 17291, 10748, 2294, 90, 30, 1, 55997,  2*
84, 89.3, 4057, 13144, 23076, 1784, 6691, 10612, 18644, 2574, 81, 40, 1, 80582,  2*
85, 90.2, 7618, 11098, 9896, 2315, 4372, 10876, 6652, 2926, 87, 35, 1, 55753,  2*
86, 91.1, 11861, 12510, 16655, 12112, 1924, 8721, 6430, 3324, 80, 48, 1, 73537,  2*
87, 92.2, 10581, 8016, 926, 6630, 2893, 16788, 8718, 6469, 77, 50, 0, 61021,  2*
88, 93.2, 7827, 11843, 5778, 10575, 4291, 5508, 12380, 5408, 74, 48, 0, 63610,  2*
89, 94.3, 30986, 12926, 7901, 23195, 7043, 6559, 4707, 4904, 61, 61, 0, 98221,  2*
90, 95.2, 19520, 5016, 2660, 3362, 4197, 10810, 5076, 3491, 78, 43, 0, 54132,  2*
91, 96.2, 3738, 5279, 7172, 5836, 10603, 6813, 4798, 10512, 66, 51, 1, 54751,  2*
92, 98.2, 11440, 9331, 1340, 3877, 7238, 15855, 8784, 6665, 84, 34, 0, 64530,  2*
93, 99.1, 4872, 6077, 6435, 14334, 3853, 7446, 5413, 4413, 84, 30, 0, 52843,  2*
94, 100.2, 3470, 8441, 7168, 6149, 9665, 10255, 6409, 7088, 87, 30, 1, 58645,  2*
95, 101.1, 4070, 9317, 15404, 3604, 7959, 10635, 5522, 3880, 77, 50, 1, 60391,  2*
96, 103.2, 5175, 17458, 10095, 6525, 7234, 8621, 8034, 4220, 67, 54, 1, 67362,  2*
97, 104.1, 57166, 65494, 26615, 8744, 10068, 8936, 5061, 3409, 41, 50, 1, 185493,  2*
98, 105.2, 35949, 45643, 35842, 23703, 17929, 12140, 3728, 2717, 27, 50, 1, 177651,  2*
99, 106.2, 551049, 169369, 14199, 3093, 16800, 16039, 7188, 6058, 17, 30, 1, 783795,  2*
100, 107.2, 85573, 41781, 27904, 21038, 11918, 4644, 6362, 4119, 10, 30, 1, 203339,  2*
101, 108.2, 38509, 41125, 1569, 13155, 15062, 6079, 6036, 1506, 11, 24, 0, 123041,  2*
102, 109.2, 37523, 12508, 1889, 8967, 7262, 10058, 2330, 3995, 24, 16, 0, 84532,  2*
103, 110.2, 12361, 35838, 14390, 3487, 4149, 8049, 5002, 4263, 29, 34, 1, 87539,  2*
104, 111.2, 7677, 4942, 5265, 18399, 6573, 4524, 4238, 4515, 41, 41, 0, 56133,  2*
105, 112.1, 23697, 89567, 4984, 27361, 13569, 8346, 3609, 3539, 38, 43, 0, 174672,  2*
106, 113.2, 10737, 8511, 7774, 11446, 2635, 7135, 4426, 2621, 34, 56, 0, 55285,  2*
107, 114.2, 180590, 21747, 3129, 5132, 1592, 1182, 1842, 1253, 20, 56, 0, 216467,  2*
108, 115.1, 14336, 5885, 3019, 3629, 2274, 8048, 6055, 5109, 34, 41, 0, 48355,  2*
109, 116.2, 8576, 4272, 3665, 1497, 4285, 6953, 5952, 2290, 57, 43, 1, 37490,  2*
110, 117.1, 844861, 57425, 19906, 8588, 8158, 8953, 6800, 4700, 48, 29, 1, 959391,  2*
111, 118.2, 17662, 46043, 4074, 6663, 7211, 5736, 3706, 2639, 57, 21, 0, 93734,  2*
112, 119.2, 2848, 8970, 18081, 8575, 7056, 3560, 7173, 2813, 38, 37, 1, 59076,  2*
113, 121.2, 9033, 10302, 9457, 3683, 6448, 7861, 2934, 2632, 30, 41, 1, 52350,  2*
114, 122.1, 4690, 24078, 4869, 2189, 3846, 10294, 5730, 3839, 37, 43, 1, 59535,  2*
115, 123.2, 11419, 12419, 26498, 10217, 11210, 12785, 9516, 5854, 48, 38, 1, 99918,  2*
116, 124.1, 12154, 10244, 4607, 7619, 8340, 3576, 10139, 7465, 40, 40, 0, 64144,  2*
117, 125.1, 6644, 11104, 15055, 12643, 6821, 6233, 3731, 6838, 50, 51, 1, 69069,  2*
