obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
80, 87.5, 14303, 20921, 1686, 4146, 5039, 6020, 4285, 6305, 21, 47, 0, 62705,  2*
81, 88.6, 51733, 18328, 16950, 14281, 6390, 5263, 4719, 2884, 37, 64, 1, 120548,  2*
82, 89.5, 3028, 8942, 3956, 5168, 12067, 10038, 5110, 9229, 40, 53, 0, 57538,  2*
83, 90.5, 43098, 8117, 14106, 8354, 5259, 9532, 2502, 4418, 64, 54, 1, 95386,  2*
84, 91.6, 14930, 14914, 21304, 11533, 6485, 12510, 9098, 4743, 67, 78, 1, 95517,  2*
85, 92.5, 5679, 15666, 5250, 3266, 4591, 20926, 3488, 3804, 94, 54, 1, 62670,  2*
86, 93.6, 5098, 14333, 5606, 7851, 7587, 9294, 6839, 3368, 90, 61, 0, 59976,  2*
87, 94.6, 10733, 17498, 15366, 7814, 13287, 13892, 3258, 4592, 90, 54, 1, 86440,  2*
88, 96.6, 1295, 11358, 32300, 6030, 12996, 2930, 3323, 4266, 70, 57, 1, 74498,  2*
89, 97.5, 2236, 6063, 7255, 19021, 3251, 2452, 3559, 4256, 43, 88, 0, 48093,  2*
90, 98.6, 16985, 5752, 6004, 7330, 10245, 6950, 5176, 4272, 43, 90, 0, 62714,  2*
91, 99.6, 3663, 7636, 1770, 22135, 5424, 11804, 3720, 5282, 64, 83, 0, 61434,  2*
92, 100.5, 1086, 4111, 18086, 5072, 11781, 7389, 5183, 1572, 60, 96, 1, 54280,  2*
93, 102.5, 13458, 23098, 3226, 4115, 11705, 2177, 2396, 2703, 60, 64, 0, 62878,  2*
94, 103.5, 5657, 3954, 5208, 4013, 7318, 5938, 1887, 6292, 60, 57, 1, 40267,  2*
95, 104.5, 2611, 10172, 2121, 7575, 29371, 2739, 3570, 1880, 51, 38, 0, 60039,  2*
96, 105.4, 7476, 26176, 2612, 4556, 12048, 5993, 9124, 3347, 60, 37, 0, 71332,  2*
97, 106.5, 8621, 27901, 7951, 17846, 8252, 6309, 5048, 6950, 50, 37, 0, 88878,  2*
98, 107.5, 19062, 16427, 7228, 37611, 2569, 6053, 5477, 2006, 30, 51, 0, 96433,  2*
99, 108.4, 1679, 27502, 3351, 5930, 5202, 6890, 7423, 5004, 37, 53, 0, 62981,  2*
100, 109.5, 193332, 35408, 52176, 9247, 18137, 7483, 4944, 2740, 27, 77, 1, 323467,  2*
101, 110.5, 8831, 11298, 10006, 6558, 1379, 7460, 2090, 3127, 38, 81, 1, 50749,  2*
102, 111.5, 2374, 10989, 7744, 2915, 2381, 9823, 3010, 2639, 56, 64, 1, 41875,  2*
103, 112.5, 12909, 15038, 8749, 8951, 3729, 8226, 2508, 5652, 61, 77, 0, 65762,  2*
104, 113.5, 22344, 33040, 15482, 8189, 5144, 7903, 7490, 2492, 67, 67, 1, 102084,  2*
105, 114.5, 15101, 26128, 11113, 2834, 13723, 8129, 2855, 6300, 64, 53, 1, 86183,  2*
106, 115.4, 15877, 5131, 33576, 5537, 2961, 6027, 4718, 4224, 51, 74, 1, 78051,  2*
107, 116.4, 3797, 8778, 2664, 5373, 2766, 9214, 4578, 7985, 57, 63, 0, 45155,  2*
108, 117.5, 6909, 13070, 8544, 10551, 4230, 9679, 5732, 3331, 66, 66, 0, 62046,  2*
109, 118.4, 13519, 16152, 10353, 12042, 2958, 5861, 8855, 5729, 63, 77, 0, 75469,  2*
110, 120.5, 293326, 50424, 3452, 7532, 6719, 9303, 17299, 11929, 64, 41, 0, 399984,  2*
111, 121.4, 17759, 20467, 11650, 31015, 5118, 8464, 10195, 4079, 37, 48, 0, 108747,  2*
112, 122.5, 3505, 8072, 8394, 5787, 4648, 18016, 6125, 9009, 57, 40, 1, 63556,  2*
113, 123.4, 29041, 25161, 5266, 3862, 30203, 10238, 15000, 12072, 64, 38, 1, 130843,  2*
114, 125.5, 102649, 32083, 27610, 24873, 6821, 8926, 11797, 4938, 63, 50, 1, 219697,  2*
115, 126.4, 174537, 143744, 10274, 14275, 2673, 3703, 5798, 7154, 23, 40, 0, 362158,  2*
116, 127.5, 21956, 15022, 13115, 3798, 10576, 7916, 6653, 6743, 24, 56, 1, 85779,  2*
117, 128.5, 3495, 21111, 18392, 10210, 13080, 5666, 7960, 3935, 27, 51, 1, 83849,  2*
118, 129.4, 31247, 32035, 12804, 11139, 3367, 13976, 11983, 4318, 37, 38, 1, 120869,  2*
119, 130.5, 13299, 13445, 6159, 4111, 5650, 23624, 7332, 8917, 78, 43, 1, 82537,  2*
120, 131.4, 447924, 89014, 46299, 9960, 11918, 25832, 11523, 3757, 75, 41, 1, 646227,  2*
121, 132.3, 472768, 40265, 2536, 22781, 21466, 14878, 11164, 4562, 81, 30, 0, 590420,  2*
122, 133.4, 36808, 14080, 46288, 27334, 24196, 7132, 4219, 2856, 67, 47, 1, 162913,  2*
123, 134.3, 10102, 6529, 20521, 19482, 3327, 6847, 4942, 3424, 48, 74, 1, 75174,  2*
124, 135.4, 5631, 17104, 24161, 5471, 10602, 6825, 6096, 3933, 47, 81, 1, 79823,  2*
125, 136.4, 7151, 9465, 22808, 4189, 7303, 10801, 12134, 8329, 50, 94, 1, 82180,  2*
126, 137.3, 6229, 13957, 19123, 4505, 7232, 6621, 4749, 8123, 57, 88, 1, 70539,  2*
127, 138.5, 12234, 38219, 32196, 9436, 16358, 3274, 5498, 3762, 43, 75, 1, 120977,  2*
