obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
111, 117.7, 2558, 2948, 6995, 4717, 5095, 3823, 4754, 5191, 78, 44, 1, 36081,  1*
112, 118.6, 8099, 1946, 2765, 6795, 3116, 5436, 4364, 2618, 87, 53, 0, 35139,  1*
113, 119.7, 3621, 17650, 5933, 12658, 4459, 3210, 4611, 4539, 77, 60, 0, 56681,  1*
114, 120.6, 4349, 16804, 8788, 5752, 4584, 4494, 4389, 1242, 66, 67, 1, 50402,  1*
115, 121.6, 1766, 5189, 1660, 8017, 3318, 6629, 2355, 1339, 70, 63, 0, 30273,  1*
116, 122.6, 1957, 7561, 8356, 1848, 3043, 4974, 2392, 3441, 66, 60, 1, 33572,  1*
117, 123.6, 3144, 17062, 25442, 18646, 3676, 6222, 10373, 3535, 67, 66, 1, 88100,  1*
118, 124.6, 75513, 16854, 2884, 2328, 927, 1310, 924, 904, 60, 57, 1, 101644,  1*
119, 125.7, 10751, 90163, 31707, 14340, 1192, 3862, 4570, 3095, 34, 56, 1, 159680,  1*
120, 126.6, 1299, 12986, 11678, 14644, 3356, 3793, 3175, 2459, 21, 63, 0, 53390,  1*
121, 127.5, 1859, 12111, 31633, 9344, 1749, 8824, 7483, 1801, 27, 64, 1, 74804,  1*
122, 128.6, 31141, 18738, 35689, 5448, 1570, 8749, 7838, 5814, 37, 81, 1, 114987,  1*
123, 129.5, 371680, 19173, 7656, 8666, 12349, 6506, 7639, 7502, 54, 80, 0, 441171,  1*
124, 130.7, 2247, 28101, 5642, 5362, 3497, 5366, 2275, 5084, 57, 64, 1, 57574,  1*
125, 131.6, 187502, 66477, 13209, 7549, 10860, 2998, 5266, 5027, 41, 44, 1, 298888,  1*
126, 132.5, 9505, 13408, 15221, 39489, 4247, 3888, 5647, 8864, 30, 51, 0, 100269,  1*
127, 133.6, 852, 27911, 16548, 15079, 3569, 4973, 5634, 3706, 24, 57, 1, 78272,  1*
